epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.227,1.74219,2.64385,1.62328,0.96037,0.10919,0.71095,0.34469,1.32356,2.86353,1.18752,0.00048343,0.00048343,0.00048343
2,304.614,1.42234,1.6569,1.25458,0.86309,0.63964,0.80783,0.52983,1.23684,2.06224,1.22034,0.000964056,0.000964056,0.000964056
3,457.845,1.32685,1.50887,1.22738,0.69885,0.66901,0.74373,0.43934,1.33506,1.85049,1.24403,0.00142488,0.00142488,0.00142488
4,611.198,1.3877,1.43556,1.23907,0.73959,0.54054,0.64881,0.32686,1.73171,1.86809,1.55273,0.00156798,0.00156798,0.00156798
5,768.928,1.3087,1.36032,1.19974,0.83076,0.90656,0.89288,0.57886,1.16561,1.283,1.1524,0.00153497,0.00153497,0.00153497
6,922.586,1.22077,1.22066,1.18799,0.92937,0.86036,0.92214,0.65066,1.12657,1.21554,1.12276,0.00150197,0.00150197,0.00150197
7,1083.94,1.12623,1.12593,1.15312,0.86188,0.89948,0.92484,0.63975,1.10757,1.12492,1.15274,0.00146896,0.00146896,0.00146896
8,1240.39,1.15343,1.0908,1.1341,0.92761,0.84234,0.93393,0.6565,1.05255,0.99666,1.08694,0.00143595,0.00143595,0.00143595
9,1392.53,1.11071,1.03373,1.13166,0.90495,0.90062,0.93039,0.67686,1.01241,0.94563,1.05447,0.00140295,0.00140295,0.00140295
10,1547.53,1.09143,0.97106,1.10403,0.91668,0.94157,0.95417,0.70749,0.92386,0.86094,1.01186,0.00136994,0.00136994,0.00136994
11,1700.17,1.0742,0.96046,1.10066,0.92821,0.93243,0.95528,0.7471,0.82463,0.80891,0.97567,0.00133693,0.00133693,0.00133693
12,1852.09,1.03917,0.92281,1.09072,0.94469,0.92323,0.95723,0.75412,0.84484,0.75015,0.98298,0.00130393,0.00130393,0.00130393
13,2004.62,1.00233,0.90671,1.08458,0.91792,0.90677,0.94591,0.73604,0.88587,0.80911,1.00304,0.00127092,0.00127092,0.00127092
14,2158.95,0.9999,0.85976,1.07837,0.90656,0.91441,0.93482,0.72081,0.89009,0.75606,1.00167,0.00123791,0.00123791,0.00123791
15,2311.04,1.01982,0.83026,1.07652,0.91448,0.89189,0.92592,0.70838,0.9257,0.81388,1.02629,0.00120491,0.00120491,0.00120491
16,2463.75,1.02769,0.8365,1.07591,0.91939,0.91892,0.95775,0.75337,0.84461,0.70323,0.97638,0.0011719,0.0011719,0.0011719
17,2622.62,0.96274,0.78237,1.07197,0.90915,0.92793,0.95792,0.76993,0.79985,0.66928,0.96361,0.00113889,0.00113889,0.00113889
18,2776.43,0.94004,0.76622,1.05145,0.94118,0.93706,0.97204,0.77605,0.8078,0.65364,0.96847,0.00110589,0.00110589,0.00110589
19,2928.01,0.94673,0.7813,1.06113,0.93951,0.92342,0.96086,0.75837,0.80421,0.61538,0.9713,0.00107288,0.00107288,0.00107288
20,3085.87,0.90841,0.76341,1.05231,0.92885,0.94083,0.96856,0.8013,0.74453,0.61394,0.96946,0.00103987,0.00103987,0.00103987
21,3244.57,0.91876,0.7479,1.05658,0.91986,0.93694,0.97015,0.77096,0.81509,0.63918,0.96555,0.00100687,0.00100687,0.00100687
22,3404.97,0.93105,0.74575,1.04093,0.95041,0.92793,0.96684,0.76984,0.81212,0.62133,0.95994,0.000973861,0.000973861,0.000973861
23,3561.35,0.90539,0.69883,1.03811,0.92462,0.93928,0.96099,0.77043,0.76386,0.61116,0.95515,0.000940855,0.000940855,0.000940855
24,3716.48,0.90105,0.72369,1.04409,0.95643,0.91892,0.9695,0.79336,0.72701,0.56549,0.95482,0.000907848,0.000907848,0.000907848
25,3873.31,0.85329,0.67157,1.02037,0.93781,0.93243,0.96511,0.80053,0.69547,0.58487,0.93514,0.000874842,0.000874842,0.000874842
26,4025.47,0.88348,0.69092,1.03524,0.92178,0.95553,0.95933,0.77865,0.72346,0.56182,0.94386,0.000841835,0.000841835,0.000841835
27,4178.25,0.8366,0.65352,1.00968,0.92959,0.95147,0.96895,0.80611,0.70436,0.53883,0.93359,0.000808828,0.000808828,0.000808828
28,4331.55,0.85589,0.66141,1.01799,0.93692,0.94595,0.95546,0.7835,0.67966,0.59092,0.93178,0.000775822,0.000775822,0.000775822
29,4486.75,0.83915,0.66409,1.00754,0.90845,0.9387,0.97133,0.80891,0.69028,0.53941,0.92793,0.000742815,0.000742815,0.000742815
30,4644.28,0.84126,0.6404,1.00958,0.92628,0.94144,0.96724,0.79057,0.72257,0.54131,0.94046,0.000709809,0.000709809,0.000709809
31,4798.43,0.84706,0.64398,1.01809,0.93135,0.95495,0.96539,0.78823,0.76738,0.53906,0.9553,0.000676802,0.000676802,0.000676802
32,4952.95,0.81594,0.61983,1.00013,0.94245,0.95894,0.97129,0.82958,0.67903,0.50093,0.92847,0.000643795,0.000643795,0.000643795
33,5115.43,0.77984,0.59635,0.98551,0.94198,0.95078,0.97284,0.8196,0.66497,0.49067,0.91828,0.000610789,0.000610789,0.000610789
34,5282.21,0.79778,0.61029,0.99674,0.95504,0.95679,0.97365,0.81942,0.66794,0.50152,0.92774,0.000577782,0.000577782,0.000577782
35,5451.11,0.77993,0.58862,0.98718,0.94206,0.95205,0.96852,0.81501,0.67229,0.51084,0.9264,0.000544776,0.000544776,0.000544776
36,5620.96,0.78272,0.58844,0.98769,0.94808,0.93694,0.96571,0.81951,0.6802,0.5049,0.93484,0.000511769,0.000511769,0.000511769
37,5788.77,0.77291,0.58397,0.9868,0.95383,0.94595,0.97302,0.81369,0.67775,0.49731,0.93538,0.000478762,0.000478762,0.000478762
38,5945.49,0.75403,0.58478,0.98583,0.93392,0.96396,0.97131,0.83611,0.63668,0.48253,0.91888,0.000445756,0.000445756,0.000445756
39,6103.09,0.7282,0.547,0.96932,0.93803,0.95453,0.96587,0.82907,0.62525,0.47683,0.91349,0.000412749,0.000412749,0.000412749
40,6263.34,0.76071,0.5677,0.988,0.92961,0.95045,0.97008,0.83207,0.62,0.46936,0.91236,0.000379743,0.000379743,0.000379743
41,6419.45,0.60309,0.49675,0.90885,0.93346,0.94789,0.97069,0.8417,0.61512,0.48585,0.91196,0.000346736,0.000346736,0.000346736
42,6574.92,0.57602,0.45389,0.89504,0.92923,0.96396,0.97093,0.83565,0.62525,0.46407,0.92132,0.000313729,0.000313729,0.000313729
43,6732.2,0.55201,0.44628,0.89108,0.93829,0.97297,0.975,0.84282,0.59229,0.45225,0.9064,0.000280723,0.000280723,0.000280723
44,6887.84,0.54859,0.44169,0.89955,0.94271,0.9635,0.97544,0.84852,0.59878,0.44239,0.90741,0.000247716,0.000247716,0.000247716
45,7043.85,0.54194,0.42593,0.88793,0.94011,0.95946,0.97963,0.85469,0.59733,0.44246,0.90872,0.00021471,0.00021471,0.00021471
46,7214.65,0.54381,0.41921,0.89625,0.94171,0.96396,0.97478,0.85333,0.57721,0.43115,0.90316,0.000181703,0.000181703,0.000181703
47,7380.55,0.51827,0.40324,0.88481,0.93537,0.95946,0.97441,0.85403,0.57764,0.42698,0.90771,0.000148696,0.000148696,0.000148696
48,7537.08,0.52113,0.39744,0.88689,0.9442,0.95495,0.97446,0.85818,0.58811,0.42061,0.91013,0.00011569,0.00011569,0.00011569
49,7698.67,0.52232,0.40133,0.88441,0.94604,0.94762,0.9726,0.85702,0.5747,0.41591,0.90541,8.26832e-05,8.26832e-05,8.26832e-05
50,7867.41,0.50598,0.39125,0.87281,0.94348,0.95946,0.96959,0.85597,0.56676,0.41821,0.90222,4.96766e-05,4.96766e-05,4.96766e-05
